ring;chip_code;capture_year;status;cert;weight;wing;tarsus;beak;feather_length;spottiness;observer;capture_date;cohort;time_capture
441686;C_79524AE;2019;F;0;82.5;137;31.09;22.46;21.95333333;10;SD;-49;2018;11
441761;C_7BA2635;2019;R;1;75.4;132;30.6;22.1;20.24;10;DG;-49;2018;11
441728;C_7AF7516;2019;F;1;74.4;131;29.2;21.2;19.33;6;DG;-49;2018;9
441904;C_7BA2934;2019;R;1;82.2;133;31.3;20.8;20.69333333;10;DG;-48;2018;11
433182;C_7AF6D03;2018;R;1;80.4;131;30.4;24.1;21.41333333;10;DG;-47;2017;12
433265;C_7AF6F18;2018;F;0;79.7;131;29.95;22.8;22.97666667;6;DG;-47;2017;11
425226;C_795623D;2018;R;1;79.5;127;29.4;22.3;20.51;7;DG;-47;2017;11
442131;C_7952276;2019;F;0;80;131;30.4;21.8;22.15;8;DG;-47;2018;10
441411;C_7AF717A;2019;R;1;79.7;128;29.1;20.5;20.33;7;DG;-45;2018;9
442103;C_79521F0;2019;F;0;83.1;136;29.86;22.34;23.14;9;SD;-43;2018;11
433259;C_7AF6997;2018;R;1;77.5;132;29.3;23.1;20.2;6;DG;-42;2017;9
441466;C_7BA281F;2019;R;1;77;128;30.4;21.9;18.11;7;DG;-42;2018;12
424644;C_7A6E9C7;2017;F;0;69.4;129.5;29.29;23.12;21.33333333;8;JM;-41;2016;11
425251;C_7955FD1;2018;R;1;79;129.5;30.62;23.33;21.51;6;JM;-41;2017;10
442569;C_7AF715F;2019;F;1;78.2;127;30.8;22;20.02333333;9;DG;-41;2018;12
441597;C_7BA2D95;2019;R;1;74.8;130;29.4;22.9;21.99;3;DG;-41;2018;12
449207;C_7C29EFD;2020;R;1;79.4;131;28.8;21.6;22.83333333;10;DG;-41;2019;10
410256;C_794ADF0;2016;F;0;77.65;136;30.7;20.9;37.92;5;RM;-40;2015;12
441915;C_7952481;2019;R;1;81.8;131;31.2;21.9;20.17333333;5;DG;-40;2018;8
441388;C_7BA2BB8;2019;R;1;80.9;136;30.2;22.2;22.34666667;6;DG;-40;2018;11
441832;C_7BA27DE;2019;F;0;80.7;133;31.8;24.05;19.57666667;9;SD;-40;2018;9
442297;C_7BA2611;2019;F;0;77.6;139;31.32;21.93;21.17;7;SD;-40;2018;10
442248;C_7AF7532;2019;R;1;70.6;131;28.26;21.57;22.23666667;10;SD;-40;2018;11
411487;C_79452CE;2016;R;1;79.5;130;29.4;21.4;21.21;10;DG;-39;2015;9
424440;C_7A72E13;2017;F;0;78;129.5;30.39;23.21;19.27666667;5;JM;-39;2016;12
424010;C_7A74879;2017;F;1;79.6;134;30.5;21.1;24.55;10;RM;-38;2016;9
424646;C_7A74ABA;2017;F;1;74.4;130.5;29.87;21.95;19.88666667;8;JM;-38;2016;10
441276;C_79522CF;2019;F;0;82.2;132;29.4;21.9;22.77333333;6;DG;-38;2018;11
442226;C_7AF7254;2019;R;1;77.8;127;29.71;21.81;18.64;5;SD;-38;2018;11
442201;C_7BA26D3;2019;R;1;77.6;131;29.9;21.1;22.69666667;10;DG;-38;2018;8
441924;C_7AF7239;2019;F;0;76.9;132;29.45;21.65;16.95333333;10;SD;-38;2018;12
441474;C_7AF7551;2019;R;1;75.6;126;28.8;22.3;19.40333333;2;DG;-38;2018;11
441403;C_7AF7124;2019;R;1;75;133;29.13;20.4;22.33333333;5;DG;-38;2018;10
442692;C_7C12143;2020;R;1;82.2;129;29.36;21.95;21.47666667;10;LP;-38;2019;10
389101;C_6E6B2B9;2013;F;0;81.2;133.5;30.49;22.6;15.1;8;JM;-37;2012;11
424713;C_7A6FD1A;2017;F;0;80.8;132;30.7;19.9;19.95;10;RM;-37;2016;12
449212;C_7C29FF4;2020;R;1;78.8;134;29.93;22.05;20.19;10;SD;-37;2019;11
449827;C_7BA2DEC;2020;F;0;73.4;132;32.52;22;23.6;9;LP;-37;2019;11
410811;C_7944A46;2016;F;0;78.5;131;28.3;21.8;20.87;8;DG;-36;2015;13
424749;C_7A72B50;2017;R;1;81.5;132;29.3;22.9;23.39333333;7;DG;-36;2016;11
441439;C_7AF75B2;2019;R;1;78.5;133;30.18;21.96;20.60333333;8;SD;-36;2018;12
449974;C_7BA28F1;2020;R;1;79.6;132;29.7;21.71;21.57;6;DG;-36;2019;9
433666;C_7AF7097;2018;F;0;79.3;128;29.3;21.7;21.64;8;DG;-35;2017;11
433384;C_7AF6FC9;2018;R;1;78.1;128.5;30.71;22.76;18.89;9;JM;-35;2017;11
441813;C_7BA29F5;2019;F;0;81.3;132;30.27;21.73;16.84666667;8;LP;-35;2018;12
441275;C_7BA2B87;2019;R;1;80.1;132;29.64;21.67;21.06;10;LP;-35;2018;10
441245;C_7BA26CD;2019;F;1;75.8;131;29.36;23.13;20.26666667;9;JM;-35;2018;12
449250;C_7C29EFE;2020;F;0;81.1;131;30.9;21.2;19.57333333;7;DG;-35;2019;9
389496;C_6E6C2D4;2013;F;0;82.2;135;31.18;23.08;21.4;9;JM;-34;2012;11
389790;C_6E69B4C;2013;F;1;80.7;133.5;30.31;21.81;19.1;10;JM;-34;2012;9
395407;C_6E6D2BF;2015;F;0;81.2;130;29.3;20.6;22.77;7;DG;-34;2014;9
395697;C_6E6ADFB;2015;F;1;80.9;129;30.3;20.9;21.40666667;10;DG;-34;2014;9
395616;C_6E6B017;2015;R;1;76.1;130;28.8;22.5;19.82333333;10;DG;-34;2014;8
410689;C_7947D02;2016;R;1;81.4;134;30.3;21.5;23.8;6;DG;-34;2015;12
410474;C_6E6D424;2016;F;1;74.2;130;28.5;21.1;21.58;7;DG;-34;2015;12
441868;C_7BA2612;2019;R;1;75.2;131;29.5;21.6;22.52333333;4;DG;-34;2018;9
435189;C_7C29E75;2020;F;1;80.2;137;29.78;22.82;23.07666667;7;SD;-34;2019;10
449946;C_7BA293D;2020;F;1;77.8;134;30.52;21.53;22.74666667;7;SD;-34;2019;11
442652;C_7C1227E;2020;R;1;76.4;127;30.04;21.44;20.55333333;6;LP;-34;2019;10
395654;C_6E69B0A;2015;R;1;79.75;129;29.21;22.67;18.89333333;8;LP;-33;2014;11
402861;C_6E6C989;2015;F;0;78.7;132;29.86;20.53;22.60333333;9;LP;-33;2014;10
411861;C_7A73B2E;2017;F;0;78;133;30.11;21.52;21.36333333;10;JM;-33;2016;11
450171;C_7C2A4BA;2020;F;0;74.2;127;29.7;19.65;18.56;10;DG;-33;2019;9
389358;C_6E69CAD;2013;R;1;85.5;133.5;30.8;23.68;18.7;10;JM;-32;2012;10
401922;C_6E69FD4;2014;R;1;76.7;129;29.99;23.13;19.10333333;10;JM;-32;2013;11
395581;C_6E69DF5;2015;F;1;77.35;131;30.5;21.48;19.48;7;LP;-32;2014;11
395677;C_6E69D3F;2015;F;0;74.2;131;28.62;20.43;21.02333333;5;LP;-32;2014;10
155158;C_6E6D057;2015;F;0;74.05;130;28.9;21.35;19.42;7;LP;-32;2014;11
242081;C_6E69C71;2015;F;1;71.15;132;29.56;21.57;20.90333333;10;LP;-32;2014;10
375830;C_6E6B5DA;2015;R;1;71.05;131;30.21;21.65;20.88333333;5;LP;-32;2014;10
424988;C_7AF8AC0;2018;F;1;80.1;128;30.92;22.69;19.08;4;JM;-32;2017;10
425060;C_7AF69F3;2018;R;1;73.3;133;30.47;21.63;18;6;JM;-32;2017;11
441687;C_7AF7323;2019;R;1;78.7;132;29.73;22.23;19.95666667;10;SD;-32;2018;9
