ring;chip_code;capture_year;status;cert;weight;wing;tarsus;beak;feather_length;observer;date_january;cohort;time_capture
389243;C_6E69DF8;2014;R;1;84.6;134;30.54;23.41;32.19333333;JM;65;2018;9
389377;C_6E6AA42;2014;R;1;91.54;136.5;31.47;24.1;34.05333333;JM;68;2018;9
389513;C_6E69D48;2014;R;1;94.4;137;30.92;23.12;41.52666667;JM;70;2016;11
389629;C_6E6B01C;2014;F;1;85.9;137;31.58;23.19;32.58666667;JM;71;2016;10
389480;C_6E69C28;2014;F;0;87.6;136;31.19;25.02;42.22666667;JM;76;2016;8
389400;C_6E6B33A;2014;R;1;83.75;136;29.62;22.83;33.10333333;JM;77;2016;10
389416;C_6E6B802;2014;F;0;83.3;135;29.83;23.04;38.16;JM;77;2016;8
389003;C_6E6BD3C;2014;R;1;86.9;136.5;31.03;22.62;37.67666667;JM;78;2016;10
389125;C_6E6B773;2014;R;1;85.5;135;32.02;22.59;36.35666667;JM;78;2016;9
389131;C_6E6A6BD;2014;R;1;87.2;136;31.67;24.61;31.3;JM;78;2016;10
389159;C_6E69F78;2014;F;0;88.95;136.5;31.76;22.56;34.66666667;JM;78;2016;11
389179;C_6E6BA20;2014;R;1;97;136;31.02;23.51;35.52333333;JM;78;2016;9
389121;C_6E6B778;2014;R;1;89.25;137.5;31.34;23.6;37.14333333;JM;79;2016;12
389757;C_6E69D3D;2014;R;1;88.4;139;29.46;23.4;34.09;JM;79;2016;12
389470;C_6E6A6BC;2014;F;0;85.3;132;30.29;22.83;34.08333333;JM;83;2016;11
389489;C_6E6A54E;2014;R;1;90.15;137.5;30.7;23.11;36.2;JM;83;2016;13
389609;C_7143736;2014;R;1;87.6;139.5;30;22.76;35.11666667;JM;86;2014;14
389181;C_6E6B4A7;2014;F;1;86.4;135;31.33;23.73;33.79;JM;87;2014;10
389410;C_6E69C24;2014;R;1;89.2;134.5;29.57;22.76;33.85666667;JM;87;2014;12
389052;C_6E6BE8A;2014;R;1;92.85;137.5;31.29;23.87;35.73666667;JM;90;2014;9
389204;C_6E6C356;2014;F;0;93.6;139;30.5;21.3;34.15333333;DG;90;2017;8
389213;C_6E6B444;2014;F;0;87.45;135;30.75;23.53;34.78666667;JM;90;2017;9
389222;C_6E6BA79;2014;R;1;88;134.5;29.9;23.09;31.5;JM;96;2017;10
389516;C_6E6B910;2014;R;1;91.95;138;29.39;23.18;39.34;JM;97;2015;10
389024;C_6E6B124;2014;R;1;90.5;134;30.86;24.61;37.84666667;JM;99;2017;10
389075;C_6E6AC58;2014;F;1;88.4;139.5;30.91;23.04;35.18666667;JM;99;2017;10
401736;C_6E6D318;2015;R;1;89.8;134;30.2;21.7;35.24;DG;62;2018;12
402160;C_6E6C4F3;2015;R;1;96.4;134;30.05;22.55;35.18666667;LP;63;2018;11
402956;C_6E6AA49;2015;R;1;88.05;137;32.09;22.63;37.72;LP;63;2018;10
400076;C_6E6B992;2015;R;1;88.3;136;30.57;22.65;33.47666667;LP;64;2018;11
402957;C_6E6A839;2015;R;1;88.4;134;30.32;21.94;31.79333333;LP;64;2014;11
401711;C_6E6B801;2015;R;1;74;138;30.5;23.38;32.24666667;LP;65;2014;8
402005;C_6E6C806;2015;R;1;82.4;132;28.22;22.69;31.93666667;LP;65;2017;10
402260;C_6E69DEC;2015;R;1;87.15;136;30.45;23.19;35.91666667;LP;65;2017;11
402713;C_6E6D052;2015;R;1;87.15;133;31.22;22.64;32.98333333;LP;65;2017;12
401671;C_6E6A6BB;2015;F;1;86;138;31.77;21.39;37.43333333;LP;67;2015;10
401745;C_6E6A405;2015;R;1;81.15;130;30.47;21.63;34.21333333;LP;68;2015;9
401766;C_6E6D05E;2015;R;1;88.6;135;30.28;23.36;34.64;LP;68;2015;11
402206;C_6E6BD65;2015;R;1;86.85;138;29.57;22;36.52333333;LP;68;2018;10
402419;C_6E6A9BF;2015;R;1;89.35;138;31.43;21.75;36.78333333;LP;68;2015;9
402613;C_6E6CB78;2015;F;1;84.85;136;30.59;22.26;37.63666667;LP;68;2015;12
400005;C_6E6A5C8;2015;R;1;90.3;139;29.98;23.05;32.65333333;LP;69;2015;12
402493;C_6E6A3A1;2015;R;1;84.2;135;30.85;22.41;34.79333333;LP;69;2016;13
401855;C_6E6A8C8;2015;F;1;85.3;139;31.77;21.87;36.69333333;LP;70;2016;13
402045;C_6E6CF1A;2015;F;1;87.25;136;29.86;21.45;37.68333333;LP;70;2016;8
402385;C_6E6BF9F;2015;R;1;85.95;132;30.84;22.96;39.77333333;LP;70;2016;12
402234;C_6E6D193;2015;R;1;86.25;136;30.08;21.59;41.05333333;DG;72;2017;10
402512;C_6E6BBC0;2015;R;1;91.3;131;31.1;22.9;33.22666667;DG;72;2017;10
401689;C_6E6BD69;2015;F;1;82.9;135;30.51;21.27;33.02;LP;74;2017;9
401758;C_6E6A0AD;2015;F;1;79.45;134;29.65;22.48;31.85;LP;74;2017;9
401776;C_6E6C888;2015;R;1;88.7;138;30.86;22.51;33.61333333;LP;74;2017;9
