ring;chip_code;capture_year;status;cert;run_day_eclosion;brood_size;weight;tarsus;observer;cohort
111892;C_79446F4;2016;R;1;20;5;75.7;30.44;JM;2014
133752;C_794AFA3;2016;R;1;21;5;81.35;30.11;JM;2014
153984;C_7949F9B;2016;F;0;21;5;78.4;30.9;DG;2014
153994;C_6E6A9C4;2016;F;0;21;4;80.9;30.9;DG;2014
155131;C_794A16D;2016;R;1;21;5;75;30.3;RM;2014
155147;C_794B1E3;2016;F;0;21;4;81.05;30.5;RM;2014
155188;C_794AE59;2016;R;1;22;5;80;30.9;DG;2014
155189;C_7948BF6;2016;F;0;22;5;77.2;30.3;DG;2014
156368;C_79452D0;2016;R;1;22;5;71.9;30.68;JM;2014
156387;C_6E6AF99;2016;F;1;22;4;85.75;31.21;JM;2014
188992;C_7947759;2016;F;1;65;4;78;29.5;DG;2014
229785;C_6E6D31C;2016;R;1;18;5;84.1;30.83;JM;2014
242064;C_794B313;2016;F;0;20;6;79.9;30.4;DG;2014
242065;C_7A6EB4A;2016;R;1;20;6;82.3;30.4;DG;2014
256879;C_7945231;2016;R;1;59;5;73.85;30.8;JM;2014
317621;C_79493BA;2016;R;1;20;5;75.05;29.61;JM;2014
317648;C_794A6C6;2016;R;1;21;4;77.65;29.41;JM;2014
333467;C_794858C;2016;R;1;51;4;81.55;31.79;JM;2014
375824;C_7945D84;2016;R;1;19;4;82.6;30.41;JM;2014
389003;C_6E6BD3C;2014;R;1;18;3;81.05;30.61;JM;2012
389024;C_6E6B124;2014;R;1;20;4;86.7;30.83;JM;2012
389052;C_6E6BE8A;2014;R;1;18;4;85.95;31.97;JM;2012
389075;C_6E6AC58;2014;F;1;20;3;81.5;31.05;PSS;2012
389121;C_6E6B778;2014;R;1;25;4;85.35;30.16;PSS;2012
389125;C_6E6B773;2014;R;1;25;4;82.8;31.2;PSS;2012
389131;C_6E6A6BD;2014;R;1;25;4;90.04;31.21;PSS;2012
389159;C_6E69F78;2014;F;0;31;4;80.45;31.92;JM;2012
389179;C_6E6BA20;2014;R;1;28;4;78.1;30.38;PSS;2012
389181;C_6E6B4A7;2014;F;1;28;4;75.08;30.19;PSS;2012
389204;C_6E6C356;2014;F;0;17;3;79.25;30.82;OM;2012
389213;C_6E6B444;2014;F;0;17;4;81.66;30.99;OM;2012
389222;C_6E6BA79;2014;R;1;17;5;77.45;29.57;OM;2012
389243;C_6E69DF8;2014;R;1;17;4;81.82;29.82;OM;2012
389377;C_6E6AA42;2014;R;1;20;3;81.41;30.14;OM;2012
389400;C_6E6B33A;2014;R;1;23;3;81.5;29.31;PSS;2012
389410;C_6E69C24;2014;R;1;16;4;76.2;29.5;DG;2012
389416;C_6E6B802;2014;F;0;16;4;70.2;29.03;DG;2012
389470;C_6E6A6BC;2014;F;0;18;5;74.5;28.9;DG;2012
389480;C_6E69C28;2014;F;0;17;5;81.5;30.5;DG;2012
389489;C_6E6A54E;2014;R;1;17;3;82;29.8;DG;2012
389513;C_6E69D48;2014;R;1;18;4;89.1;30.2;DG;2012
389516;C_6E6B910;2014;R;1;18;5;85.9;29.5;DG;2012
389575;C_6E69EB4;2014;R;1;19;2;83.7;29.7;DG;2012
389609;C_7143736;2014;R;1;40;4;76.22;29.62;PSS;2012
389629;C_6E6B01C;2014;F;1;29;3;75.08;31.1;PSS;2012
389757;C_6E69D3D;2014;R;1;31;5;69.17;29.2;PSS;2012
395064;C_794475F;2016;R;1;69;5;69.45;29.99;JM;2014
395070;C_7944F18;2016;F;0;70;4;79.5;31.1;DG;2014
395072;C_794B1E9;2016;F;1;71;4;83.65;30.15;RM;2014
395112;C_7945F7C;2016;R;1;66;4;73.15;27.8;RM;2014
395142;C_7948D65;2016;R;1;66;5;72.2;29.28;RM;2014
395212;C_7944EAE;2016;R;1;67;5;74.6;31.88;JM;2014
395237;C_7948F88;2016;R;1;68;3;66.5;29.7;JM;2014
395270;C_6E6A2CF;2016;R;1;67;4;67.65;30.03;RM;2014
395307;C_7945BAF;2016;R;1;63;4;79.7;29.35;JM;2014
395309;C_794A9F4;2016;F;0;63;4;79.2;31.03;JM;2014
395408;C_794A866;2016;R;1;22;5;80.75;29.57;JM;2014
395433;C_6E6D18F;2016;R;1;22;5;80.05;31.53;JM;2014
395489;C_7949035;2016;R;1;24;3;82.4;31.23;JM;2014
395574;C_7946B21;2016;R;1;67;5;80.2;29.9;DG;2014
395629;C_794A6C9;2016;R;1;31;6;82.9;30.79;JM;2014
395672;C_7949924;2016;F;0;34;4;88.7;30.4;RM;2014
397421;C_794902F;2016;F;0;38;5;78.2;31.16;JM;2014
397446;C_7947E6A;2016;R;1;40;5;75.2;30.63;JM;2014
400005;C_6E6A5C8;2015;R;1;16;5;80.65;30.63;JM;2013
400076;C_6E6B992;2015;R;1;18;4;86.4;30.73;JM;2013
401605;C_6E6C756;2015;F;0;20;3;74.35;29.3;JM;2013
401671;C_6E6A6BB;2015;F;1;18;4;72.45;31.65;JM;2013
401689;C_6E6BD69;2015;F;1;19;4;55.9;29.89;JM;2013
401711;C_6E6B801;2015;R;1;18;4;75.4;31.23;JM;2013
401736;C_6E6D318;2015;R;1;32;2;86.05;30.41;JM;2013
401745;C_6E6A405;2015;R;1;32;6;74.55;30.73;JM;2013
401758;C_6E6A0AD;2015;F;1;34;5;69;29.67;JM;2013
401766;C_6E6D05E;2015;R;1;33;2;87.65;30.51;JM;2013
401776;C_6E6C888;2015;R;1;31;5;81.95;31.25;JM;2013
401855;C_6E6A8C8;2015;F;1;56;2;73.45;31.46;JM;2013
402005;C_6E6C806;2015;R;1;16;5;71;27.9;LP;2013
402045;C_6E6CF1A;2015;F;1;17;3;70;30.3;DG;2013
402075;C_6E6B09F;2015;F;1;18;2;86;29.6;LP;2013
402155;C_6E6A8BD;2015;R;1;19;4;72;29.1;LP;2013
402156;C_6E69F76;2015;F;1;19;4;65;29.5;LP;2013
402160;C_6E6C4F3;2015;R;1;19;4;86;29.4;LP;2013
402206;C_6E6BD65;2015;R;1;18;3;67;29.2;DG;2013
402234;C_6E6D193;2015;R;1;18;2;70;30.7;LP;2013
402235;C_6E6A25E;2015;F;1;17;5;77;29.3;DG;2013
402260;C_6E69DEC;2015;R;1;19;2;67;29.3;DG;2013
402322;C_6E6D5F3;2015;F;1;18;5;73;30.8;LP;2013
402374;C_6E69A8F;2015;R;1;19;2;73;29.5;DG;2013
402385;C_6E6BF9F;2015;R;1;19;3;75;30.9;DG;2013
402419;C_6E6A9BF;2015;R;1;33;5;85;30.9;DG;2013
402420;C_6E6CFE8;2015;R;1;33;5;88;31;DG;2013
402493;C_6E6A3A1;2015;R;1;33;4;88;30.6;DG;2013
402512;C_6E6BBC0;2015;R;1;34;5;90;31.15;DG;2013
402554;C_6E6D514;2015;F;1;42;6;80;30.82;JM;2013
402566;C_6E69A93;2015;R;1;44;5;74;30.86;JM;2013
402574;C_6E6C135;2015;F;1;46;3;85;30.6;RM;2013
402613;C_6E6CB78;2015;F;1;59;4;77;30.1;DG;2013
402713;C_6E6D052;2015;R;1;66;2;74.75;31.34;JM;2013
402809;C_79484D5;2016;R;1;21;3;82.8;30;DG;2014
402813;C_79446C0;2016;F;0;21;3;75.4;30.3;DG;2014
402818;C_7949A78;2016;R;1;21;4;79.6;30.8;DG;2014
402871;C_794AB90;2016;R;1;22;4;77.3;29.6;DG;2014
402899;C_7947D09;2016;R;1;22;5;83.6;30.5;DG;2014
402956;C_6E6AA49;2015;R;1;66;4;71;32.1;DG;2013
402957;C_6E6A839;2015;R;1;66;4;78;30.3;DG;2013
408067;C_794AA00;2016;R;1;21;6;80.2;29.5;RM;2014
408070;C_7946BC5;2016;F;0;21;6;81.8;29.9;RM;2014
408072;C_7945241;2016;R;1;21;5;79.5;29.2;RM;2014
410109;C_7947DBB;2017;R;1;18;4;80;29.3;RM;2015
410114;C_7991152;2017;F;0;18;5;77;29.4;RM;2015
410172;C_7A7372E;2017;R;1;18;4;81;31;RM;2015
410220;C_7A71F3E;2017;R;1;19;4;76;30.1;RM;2015
410225;C_7A75438;2017;R;1;19;3;77;31.2;RM;2015
410247;C_7A6FCFC;2017;R;1;19;3;74.7;30.2;DG;2015
410276;C_7A745DB;2017;F;1;20;4;80.9;28.8;HB;2015
410282;C_7A6EB43;2017;F;0;20;4;77.2;29.6;HB;2015
410302;C_7A6F054;2017;R;1;20;4;84.9;29.5;HB;2015
410317;C_7A6F2D7;2017;F;0;16;5;79.2;30.6;RM;2015
410333;C_7A72B56;2017;R;1;17;5;72;28.9;DG;2015
410335;C_79454F8;2017;R;1;17;5;71.8;29.1;DG;2015
410346;C_7A70C93;2017;R;1;17;5;80.6;31.2;DG;2015
410389;C_7A709C7;2017;R;1;18;4;79.9;31.4;DG;2015
410428;C_7A70C72;2017;R;1;18;5;75.9;31.2;DG;2015
410550;C_7A71760;2017;F;0;20;5;71.4;29.6;DG;2015
410564;C_7A71B21;2017;R;1;20;5;75;29.7;DG;2015
410594;C_7A72C0E;2017;R;1;21;4;76.6;30.5;DG;2015
410622;C_7A70517;2017;F;0;19;5;70.2;28.2;HB;2015
410630;C_7A7351C;2017;R;1;18;4;81.9;30.7;HB;2015
410663;C_794ACFC;2017;R;1;19;6;72;29;HB;2015
410670;C_7A6F9F7;2017;F;0;18;4;72;28.8;HB;2015
410674;C_7A72EDF;2017;F;1;18;4;83.2;30.4;HB;2015
410723;C_794A038;2017;F;1;19;4;78.1;29.9;HB;2015
410727;C_7A7018C;2017;F;1;19;3;84.1;29.8;HB;2015
410789;C_7A730F7;2017;R;1;30;4;81.5;31.1;HB;2015
410919;C_7A731D7;2017;F;1;49;4;79;30.8;HB;2015
410937;C_7A722CE;2017;F;1;57;3;76.3;29.6;HB;2015
410968;C_7A7078B;2017;R;1;58;3;87.7;30.5;HB;2015
411027;C_7A74907;2017;R;1;60;4;80.5;31;HB;2015
411030;C_7A6F5AD;2017;R;1;60;4;83.6;30.5;HB;2015
411048;C_7A729E6;2017;R;1;61;3;77;30;RM;2015
411055;C_7A730F8;2017;F;0;63;3;76.8;31.3;DG;2015
411056;C_7A6F6D7;2017;F;1;63;3;69;30.2;DG;2015
411057;C_7A729DF;2017;R;1;63;3;75;31;DG;2015
411065;C_7A7064A;2017;R;1;63;6;74;30.7;DG;2015
411071;C_7A7286C;2017;R;1;62;3;87;30.2;DG;2015
411097;C_7A7130C;2017;F;0;63;3;76.6;30.1;DG;2015
411115;C_7A70B56;2017;R;1;62;5;79.8;30.9;HB;2015
411121;C_7A6F6D6;2017;R;1;62;3;87.1;30.3;HB;2015
411344;C_7A747ED;2017;R;1;65;3;76.8;29.1;HB;2015
411382;C_7A73E67;2017;F;1;67;4;66;30.4;DG;2015
411414;C_7A71A47;2017;F;0;66;3;59.7;28.9;HB;2015
411687;C_7A6FB13;2018;R;1;22;4;80.4;30.6;RM;2016
411729;C_7A73E6D;2018;R;1;23;4;89.73;29.76;RM;2016
411730;C_7A7498F;2018;F;1;23;4;93;30.6;RM;2016
411760;C_7A703AD;2018;R;1;24;3;97.5;31.6;RM;2016
411773;C_7A74F70;2018;F;0;24;3;82.2;28.2;RM;2016
411778;C_7A7286D;2018;R;1;24;3;74;29.6;RM;2016
