ring;chip_code;sex;capture_year;status;status_cat;cert;run_day_eclosion;brood_size;weight_n;tarsus_n;observer_n;weight_a;wing_a;tarsus_a;beak;feather_length;observer_a;observer_a2;time_capture;date_january;cohort
111892;C_79446F4;1;2016;R;1;1;20;5;75.7;30.44;JM;81.2;138;30.01;22.89;36;LP;LP;10;71;2014
133752;C_794AFA3;1;2016;R;1;1;21;5;81.35;30.11;JM;85.8;136;29.5;22.5;31.56;RM;RM;9;82;2014
153984;C_7949F9B;1;2016;F;0;0;21;5;78.4;30.9;DG;89.2;136;30.4;22;35.99;DG;DG;11;84;2014
155131;C_794A16D;1;2016;R;1;1;21;5;75;30.3;RM;87.6;139;31.1;21.9;36.62;RM;RM;12;76;2014
155147;C_794B1E3;1;2016;F;0;0;21;4;81.05;30.5;RM;82.85;136;30.86;22.8;33.98;LP;LP;9;75;2014
155188;C_794AE59;1;2016;R;1;1;22;5;80;30.9;DG;84.5;135;30.6;22.3;33.26;DG;DG;9;72;2014
155189;C_7948BF6;1;2016;F;0;0;22;5;77.2;30.3;DG;87.6;132;31.1;23.3;34.43;DG;DG;10;73;2014
156368;C_79452D0;1;2016;R;1;1;22;5;71.9;30.68;JM;88.1;138;30.2;21.4;34.39;RM;RM;12;97;2014
156387;C_6E6AF99;1;2016;F;0;1;22;4;85.75;31.21;JM;90.2;137;31.2;21.6;33.74;DG;DG;9;117;2014
188992;C_7947759;1;2016;F;0;1;65;4;78;29.5;DG;79.35;133;30.25;22.07;31.43;DG;DG;9;62;2014
229785;C_6E6D31C;1;2016;R;1;1;18;5;84.1;30.83;JM;87.5;136;30.5;22.35;36.07;DG;DG;12;69;2014
242064;C_794B313;1;2016;F;0;0;20;6;79.9;30.4;DG;86.7;133;30.7;22.9;35.7;DG;DG;12;92;2014
256879;C_7945231;1;2016;R;1;1;59;5;73.85;30.8;JM;84.4;132;30.7;20.5;37.82;DG;DG;12;62;2014
317621;C_79493BA;1;2016;R;1;1;20;5;75.05;29.61;JM;85.9;137;29.2;20.8;38.79;DG;DG;10;92;2014
317648;C_794A6C6;1;2016;R;1;1;21;4;77.65;29.41;JM;83.4;132;29.46;21.57;34.94;LP;LP;11;67;2014
333467;C_794858C;1;2016;R;1;1;51;4;81.55;31.79;JM;88.1;132;31.4;22.6;33.32;DG;DG;10;73;2014
375824;C_7945D84;1;2016;R;1;1;19;4;82.6;30.41;JM;88.7;135;30;21.9;36.74;DG;DG;10;119;2014
389003;C_6E6BD3C;1;2014;R;1;1;18;3;81.05;30.61;JM;86.9;136.5;31.03;22.62;37.67666667;JM;JM;10;78;2012
389024;C_6E6B124;1;2014;R;1;1;20;4;86.7;30.83;JM;90.5;134;30.86;24.61;37.84666667;JM;JM;10;99;2012
389052;C_6E6BE8A;1;2014;R;1;1;18;4;85.95;31.97;JM;92.85;137.5;31.29;23.87;35.73666667;JM;JM;9;90;2012
389075;C_6E6AC58;1;2014;F;0;1;20;3;81.5;31.05;PSS;88.4;139.5;30.91;23.04;35.18666667;JM;JM;10;99;2012
389121;C_6E6B778;1;2014;R;1;1;25;4;85.35;30.16;PSS;89.25;137.5;31.34;23.6;37.14333333;JM;JM;12;79;2012
389125;C_6E6B773;1;2014;R;1;1;25;4;82.8;31.2;PSS;85.5;135;32.02;22.59;36.35666667;JM;JM;9;78;2012
389131;C_6E6A6BD;1;2014;R;1;1;25;4;90.04;31.21;PSS;87.2;136;31.67;24.61;31.3;JM;JM;10;78;2012
389159;C_6E69F78;1;2014;F;0;0;31;4;80.45;31.92;JM;88.95;136.5;31.76;22.56;34.66666667;JM;JM;11;78;2012
389179;C_6E6BA20;1;2014;R;1;1;28;4;78.1;30.38;PSS;97;136;31.02;23.51;35.52333333;JM;JM;9;78;2012
389181;C_6E6B4A7;1;2014;F;0;1;28;4;75.08;30.19;PSS;86.4;135;31.33;23.73;33.79;JM;JM;10;87;2012
389204;C_6E6C356;1;2014;F;0;0;17;3;79.25;30.82;OM;93.6;139;30.5;21.3;34.15333333;DG;DG;8;90;2012
